공간정보일련번호,격자분류명,격자명,공간정보
1,250000_A,NH52-04,MULTIPOLYGON (((125.99999395710479 30.00013343982161  125.99999396503515 30.2501329305776  125.9999947209462 30.500116723829166  125.99999399148642 30.750131910816386  125.99999471309229 31.00011675952713  126.24999472503907 31.000116756412552  126.49999472289241 31.000116757716874  126.7499947219796 31.000116760912015  126.99999472111891 31.00011676197778  127.24999471895298 31.00011675573284  127.49999472126072 31.000116762655765  127.74999472433328 31.000116759824593  127.99999472873495 31.000116756093362  127.99999471872688 30.750116832880757  127.99999472450952 30.500116828526977  127.99999472176262 30.250116821679832  127.99999471860836 30.00011680770278  127.74999471344834 30.00011696411446  127.49999472303199 30.00011668986035  127.24999468689363 30.000117885921284  126.99999464916236 30.000118924322038  126.74999458103808 30.000120647216796  126.49999472659127 30.00011670664282  126.24999425998928 30.00012743976869  125.99999395710479 30.00013343982161)))
2,250000_A,NH51-06,MULTIPOLYGON (((123.99999394146214 30.00013344325538  123.99999394939249 30.25013293401137  123.99999470530355 30.500116727262935  123.99999397584376 30.750131914250154  123.99999469744964 31.0001167629609  124.24999470939642 31.00011675984632  124.49999470724975 31.000116761150643  124.74999470633695 31.000116764345783  124.99999470547625 31.000116765411548  125.24999470331032 31.00011675916661  125.49999470561806 31.000116766089533  125.74999470869062 31.00011676325836  125.99999471309229 31.00011675952713  125.99999470308423 30.750116836314525  125.99999470886686 30.500116831960746  125.99999470611996 30.2501168251136  125.99999470296571 30.00011681113655  125.74999469780569 30.00011696754823  125.49999470738933 30.000116693294117  125.24999467125097 30.000117889355053  124.9999946335197 30.000118927755807  124.74999456539543 30.000120650650565  124.49999471094861 30.00011671007659  124.24999424434662 30.00012744320246  123.99999394146214 30.00013344325538)))
3,250000_A,NH52-01,MULTIPOLYGON (((125.99999545895321 31.00010013084207  125.99999546688356 31.25009962159806  125.99999622279462 31.500083414849627  125.99999549333484 31.750098601836847  125.99999621494071 32.00008345054759  126.24999622688749 32.00008344743301  126.49999622474083 32.000083448737335  126.74999622382802 32.000083451932475  126.99999622296733 32.00008345299824  127.24999622080139 32.0000834467533  127.49999622310914 32.000083453676226  127.7499962261817 32.000083450845054  127.99999623058336 32.00008344711382  127.9999962205753 31.750083523901218  127.99999622635794 31.500083519547438  127.99999622361103 31.250083512700293  127.99999622045678 31.000083498723242  127.74999621529676 31.000083655134922  127.4999962248804 31.00008338088081  127.24999618874205 31.000084576941745  126.99999615101078 31.0000856153425  126.7499960828865 31.000087338237257  126.49999622843968 31.000083397663282  126.2499957618377 31.00009413078915  125.99999545895321 31.00010013084207)))
4,250000_A,NH51-03,MULTIPOLYGON (((123.99999469744964 31.0001167629609  123.99999470537999 31.25011625371689  123.99999546129105 31.500100046968456  123.99999473183126 31.750115233955675  123.99999545343714 32.00010008266642  124.24999546538392 32.00010007955184  124.49999546323725 32.000100080856164  124.74999546232445 32.000100084051304  124.99999546146375 32.00010008511707  125.24999545929782 32.00010007887213  125.49999546160556 32.000100085795054  125.74999546467812 32.00010008296388  125.99999546907979 32.00010007923265  125.99999545907173 31.750100156020046  125.99999546485436 31.500100151666267  125.99999546210746 31.250100144819122  125.99999545895321 31.00010013084207  125.74999545379319 31.00010028725375  125.49999546337683 31.00010001299964  125.24999542723847 31.000101209060574  124.9999953895072 31.000102247461328  124.74999532138293 31.000103970356086  124.49999546693611 31.00010002978211  124.24999500033412 31.00011076290798  123.99999469744964 31.0001167629609)))
13,250000_A,NJ52-12,MULTIPOLYGON (((129.99999927017603 36.00001672250214  129.9999992781064 36.25001621325813  130.00000003401746 36.500000006509694  129.99999930455766 36.750015193496914  130.00000002616355 37.00000004220766  130.25000003811033 37.00000003909308  130.50000003596367 37.0000000403974  130.75000003505085 37.00000004359254  131.00000003419018 37.00000004465831  131.25000003202422 37.00000003841337  131.50000003433198 37.00000004533629  131.75000003740453 37.00000004250512  132.0000000418062 37.00000003877389  132.00000003179815 36.750000115561285  132.00000003758078 36.500000111207505  132.00000003483387 36.25000010436036  132.00000003167963 36.00000009038331  131.75000002651961 36.00000024679499  131.50000003610324 35.99999997254088  131.24999999996487 36.00000116860181  130.99999996223363 36.00000220700257  130.74999989410935 36.000003929897325  130.50000003966252 35.99999998932335  130.24999957306053 36.00001072244922  129.99999927017603 36.00001672250214)))
5,250000_A,NI52-10,MULTIPOLYGON (((125.99999621494071 32.00008345054759  125.99999622287106 32.25008294130358  125.99999697878212 32.50006673455515  125.99999624932234 32.75008192154237  125.99999697092821 33.00006677025311  126.24999698287499 33.000066767138534  126.49999698072833 33.000066768442856  126.74999697981552 33.000066771638  126.99999697895483 33.00006677270376  127.24999697678889 33.00006676645882  127.49999697909664 33.00006677338175  127.7499969821692 33.000066770550575  127.99999698657086 33.000066766819344  127.9999969765628 32.75006684360674  127.99999698234544 32.50006683925296  127.99999697959854 32.250066832405814  127.99999697644428 32.00006681842876  127.74999697128426 32.00006697484044  127.4999969808679 32.00006670058633  127.24999694472955 32.000067896647266  126.99999690699828 32.00006893504802  126.749996838874 32.00007065794278  126.49999698442718 32.0000667173688  126.2499965178252 32.00007745049467  125.99999621494071 32.00008345054759)))
42,50000_A,NI52-07-25,MULTIPOLYGON (((125.99999622506729 33.25008137265555  126.2499942675971 33.25008137265555  126.2499942675971 33.00008339893818  125.99999622506729 33.00008339893818  125.99999622506729 33.25008137265555)))
14,250000_A,NI52-03,MULTIPOLYGON (((129.99999926004944 35.00001677411156  129.99999926797977 35.25001626486755  130.00000002389083 35.50000005811911  129.99999929443106 35.75001524510633  130.00000001603692 36.00000009381708  130.2500000279837 36.0000000907025  130.50000002583704 36.00000009200682  130.75000002492425 36.00000009520196  131.00000002406352 36.000000096267726  131.25000002189762 36.00000009002279  131.50000002420535 36.00000009694571  131.7500000272779 36.00000009411454  132.00000003167958 36.00000009038331  132.0000000216715 35.750000167170704  132.00000002745415 35.500000162816924  132.00000002470725 35.25000015596978  132.00000002155298 35.00000014199273  131.75000001639296 35.00000029840441  131.50000002597662 35.000000024150296  131.24999998983827 35.00000122021123  130.99999995210698 35.000002258611985  130.7499998839827 35.000003981506744  130.5000000295359 35.00000004093277  130.2499995629339 35.00001077405864  129.99999926004944 35.00001677411156)))
10,250000_A,NI51-12,MULTIPOLYGON (((123.99999545343714 32.00010008266642  123.99999546136749 32.25009957342241  123.99999621727855 32.50008336667398  123.99999548781877 32.750098553661196  123.99999620942464 33.00008340237194  124.24999622137142 33.00008339925736  124.49999621922476 33.000083400561685  124.74999621831195 33.000083403756825  124.99999621745125 33.00008340482259  125.24999621528532 33.00008339857765  125.49999621759306 33.000083405500575  125.74999622066562 33.000083402669404  125.99999622506729 33.00008339893817  125.99999621505923 32.75008347572557  125.99999622084187 32.50008347137179  125.99999621809496 32.25008346452464  125.99999621494071 32.00008345054759  125.74999620978069 32.00008360695927  125.49999621936433 32.00008333270516  125.24999618322597 32.000084528766095  124.9999961454947 32.00008556716685  124.74999607737043 32.00008729006161  124.49999622292361 32.00008334948763  124.24999575632162 32.0000940826135  123.99999545343714 32.00010008266642)))
7,250000_A,NI52-07,MULTIPOLYGON (((125.99999697092821 33.00006677025311  125.99999697885856 33.2500662610091  125.99999773476962 33.50005005426067  125.99999700530984 33.75006524124789  125.99999772691571 34.000050089958634  126.24999773886249 34.000050086844055  126.49999773671583 34.00005008814838  126.74999773580302 34.00005009134352  126.99999773494233 34.00005009240928  127.2499977327764 34.00005008616434  127.49999773508414 34.00005009308727  127.7499977381567 34.000050090256096  127.99999774255836 34.000050086524865  127.9999977325503 33.75005016331226  127.99999773833294 33.50005015895848  127.99999773558604 33.250050152111335  127.99999773243178 33.000050138134284  127.74999772727176 33.000050294545964  127.4999977368554 33.00005002029185  127.24999770071705 33.00005121635279  126.99999766298578 33.00005225475354  126.7499975948615 33.0000539776483  126.49999774041468 33.000050037074324  126.2499972738127 33.00006077020019  125.99999697092821 33.00006677025311)))
